1010,943,17,9930
1030,588,17,9930
1045,99995,17,9930
1055,6055,17,9930
1060,990,17,9930
1065,99998,17,9930
1070,681,17,9930
1085,99985,17,9930
1090,3989,17,9930
1105,3474,17,9930
1106,3474,17,9930
1110,718,17,9930
1123,2596,17,9930
1135,5932,17,9930
1140,5074,17,9930
1145,5984,17,9930
1150,758,17,9930
1160,798,17,9930
1165,5978,17,9930
1200,1980,17,9930
1210,587,17,9930
1225,5977,17,9930
1230,626,17,9930
1270,717,17,9930
1300,788,17,9930
1310,792,17,9930
1320,967,17,9930
1330,799,17,9930
1340,809,17,9930
1350,851,17,9930
1360,852,17,9930
1380,879,17,9930
1390,893,17,9930
1400,920,17,9930
1410,923,17,9930
1420,924,17,9930
1430,941,17,9930
1440,942,17,9930
1460,1125,17,9930
1470,972,17,9930
1480,977,17,9930
1490,1002,17,9930
1500,2031,17,9930
1510,1061,17,9930
1520,1093,17,9930
1530,1111,17,9930
1540,1114,17,9930
1560,1139,17,9930
1570,1149,17,9930
1580,1153,17,9930
1590,1161,17,9930
1600,4265,17,9930
1610,1180,17,9930
1620,1185,17,9930
1630,1189,17,9930
1640,1192,17,9930
1670,889,17,9930
1690,999,17,9930
1700,5305,17,9930
1710,925,17,9930
1730,693,17,9930
1740,3481,17,9930
1750,4383,17,9930
1760,931,17,9930
1790,5147,17,9930
1800,3487,17,9930
1810,714,17,9930
1820,1198,17,9930
1830,5179,17,9930
1840,1086,17,9930
1850,671,17,9930
1860,1072,17,9930
1870,895,17,9930
1890,722,17,9930
1920,1018,17,9930
1930,3479,17,9930
1931,3479,17,9930
1932,3479,17,9930
1933,3479,17,9930
1934,3479,17,9930
1935,3479,17,9930
1936,3479,17,9930
1940,4266,17,9930
1950,1076,17,9930
1960,3450,17,9930
1961,3450,17,9930
1962,3450,17,9930
1964,3450,17,9930
2015,,17,9930
2020,884,17,9930
2025,6035,17,9930
2030,763,17,9930
2035,5986,17,9930
2040,804,17,9930
2045,5980,17,9930
2055,6034,17,9930
2070,1001,17,9930
2080,1181,17,9930
2085,99991,17,9930
2090,2618,17,9930
2100,645,17,9930
2110,581,17,9930
2120,894,17,9930
2130,582,17,9930
2150,585,17,9930
2160,586,17,9930
2170,589,17,9930
2180,590,17,9930
2190,591,17,9930
2200,597,17,9930
2210,5787,17,9930
2220,4944,17,9930
2230,5076,17,9930
2240,601,17,9930
2250,603,17,9930
2260,604,17,9930
2270,605,17,9930
2280,607,17,9930
2290,3505,17,9930
2300,610,17,9930
2320,612,17,9930
2330,1156,17,9930
2340,614,17,9930
2350,3995,17,9930
2360,615,17,9930
2370,617,17,9930
2380,618,17,9930
2390,619,17,9930
2400,621,17,9930
2410,622,17,9930
2420,3505,17,9930
2430,623,17,9930
2440,625,17,9930
2450,627,17,9930
2460,629,17,9930
2470,632,17,9930
2480,633,17,9930
2490,3981,17,9930
2510,634,17,9930
2520,635,17,9930
